experiment_id	method	method_display_name	dataset	seed	config_path	output_root	source_artifact_path	implementation_key	pretext_template_key	mapping_status
pretext_rotten_tomatoes_seed789	pretext	PrE-Text	rotten_tomatoes	789	configs/experiments/thesis_e2_extra_unseen_repeat15/pretext_rotten_tomatoes_seed789.yaml	paper-new-round19/outputs/thesis_e2_extra_unseen_repeat15/pretext/rotten_tomatoes/seed789		expand_private	expand_private	needs_verification
pretext_rotten_tomatoes_seed1024	pretext	PrE-Text	rotten_tomatoes	1024	configs/experiments/thesis_e2_extra_unseen_repeat15/pretext_rotten_tomatoes_seed1024.yaml	paper-new-round19/outputs/thesis_e2_extra_unseen_repeat15/pretext/rotten_tomatoes/seed1024		expand_private	expand_private	needs_verification
pretext_rotten_tomatoes_seed2048	pretext	PrE-Text	rotten_tomatoes	2048	configs/experiments/thesis_e2_extra_unseen_repeat15/pretext_rotten_tomatoes_seed2048.yaml	paper-new-round19/outputs/thesis_e2_extra_unseen_repeat15/pretext/rotten_tomatoes/seed2048		expand_private	expand_private	needs_verification
pretext_rotten_tomatoes_seed4096	pretext	PrE-Text	rotten_tomatoes	4096	configs/experiments/thesis_e2_extra_unseen_repeat15/pretext_rotten_tomatoes_seed4096.yaml	paper-new-round19/outputs/thesis_e2_extra_unseen_repeat15/pretext/rotten_tomatoes/seed4096		expand_private	expand_private	needs_verification
pretext_rotten_tomatoes_seed8192	pretext	PrE-Text	rotten_tomatoes	8192	configs/experiments/thesis_e2_extra_unseen_repeat15/pretext_rotten_tomatoes_seed8192.yaml	paper-new-round19/outputs/thesis_e2_extra_unseen_repeat15/pretext/rotten_tomatoes/seed8192		expand_private	expand_private	needs_verification
pretext_rotten_tomatoes_seed100	pretext	PrE-Text	rotten_tomatoes	100	configs/experiments/thesis_e2_extra_unseen_repeat15/pretext_rotten_tomatoes_seed100.yaml	paper-new-round19/outputs/thesis_e2_extra_unseen_repeat15/pretext/rotten_tomatoes/seed100		expand_private	expand_private	needs_verification
pretext_rotten_tomatoes_seed200	pretext	PrE-Text	rotten_tomatoes	200	configs/experiments/thesis_e2_extra_unseen_repeat15/pretext_rotten_tomatoes_seed200.yaml	paper-new-round19/outputs/thesis_e2_extra_unseen_repeat15/pretext/rotten_tomatoes/seed200		expand_private	expand_private	needs_verification
pretext_rotten_tomatoes_seed300	pretext	PrE-Text	rotten_tomatoes	300	configs/experiments/thesis_e2_extra_unseen_repeat15/pretext_rotten_tomatoes_seed300.yaml	paper-new-round19/outputs/thesis_e2_extra_unseen_repeat15/pretext/rotten_tomatoes/seed300		expand_private	expand_private	needs_verification
pretext_rotten_tomatoes_seed400	pretext	PrE-Text	rotten_tomatoes	400	configs/experiments/thesis_e2_extra_unseen_repeat15/pretext_rotten_tomatoes_seed400.yaml	paper-new-round19/outputs/thesis_e2_extra_unseen_repeat15/pretext/rotten_tomatoes/seed400		expand_private	expand_private	needs_verification
pretext_rotten_tomatoes_seed500	pretext	PrE-Text	rotten_tomatoes	500	configs/experiments/thesis_e2_extra_unseen_repeat15/pretext_rotten_tomatoes_seed500.yaml	paper-new-round19/outputs/thesis_e2_extra_unseen_repeat15/pretext/rotten_tomatoes/seed500		expand_private	expand_private	needs_verification
pretext_rotten_tomatoes_seed600	pretext	PrE-Text	rotten_tomatoes	600	configs/experiments/thesis_e2_extra_unseen_repeat15/pretext_rotten_tomatoes_seed600.yaml	paper-new-round19/outputs/thesis_e2_extra_unseen_repeat15/pretext/rotten_tomatoes/seed600		expand_private	expand_private	needs_verification
pretext_rotten_tomatoes_seed700	pretext	PrE-Text	rotten_tomatoes	700	configs/experiments/thesis_e2_extra_unseen_repeat15/pretext_rotten_tomatoes_seed700.yaml	paper-new-round19/outputs/thesis_e2_extra_unseen_repeat15/pretext/rotten_tomatoes/seed700		expand_private	expand_private	needs_verification
pretext_twitter_emotion_binary_seed42	pretext	PrE-Text	twitter_emotion_binary	42	configs/experiments/thesis_e2_extra_unseen_repeat15/pretext_twitter_emotion_binary_seed42.yaml	paper-new-round19/outputs/thesis_e2_extra_unseen_repeat15/pretext/twitter_emotion_binary/seed42		expand_private	expand_private	needs_verification
pretext_twitter_emotion_binary_seed123	pretext	PrE-Text	twitter_emotion_binary	123	configs/experiments/thesis_e2_extra_unseen_repeat15/pretext_twitter_emotion_binary_seed123.yaml	paper-new-round19/outputs/thesis_e2_extra_unseen_repeat15/pretext/twitter_emotion_binary/seed123		expand_private	expand_private	needs_verification
pretext_twitter_emotion_binary_seed456	pretext	PrE-Text	twitter_emotion_binary	456	configs/experiments/thesis_e2_extra_unseen_repeat15/pretext_twitter_emotion_binary_seed456.yaml	paper-new-round19/outputs/thesis_e2_extra_unseen_repeat15/pretext/twitter_emotion_binary/seed456		expand_private	expand_private	needs_verification
pretext_twitter_emotion_binary_seed789	pretext	PrE-Text	twitter_emotion_binary	789	configs/experiments/thesis_e2_extra_unseen_repeat15/pretext_twitter_emotion_binary_seed789.yaml	paper-new-round19/outputs/thesis_e2_extra_unseen_repeat15/pretext/twitter_emotion_binary/seed789		expand_private	expand_private	needs_verification
pretext_twitter_emotion_binary_seed1024	pretext	PrE-Text	twitter_emotion_binary	1024	configs/experiments/thesis_e2_extra_unseen_repeat15/pretext_twitter_emotion_binary_seed1024.yaml	paper-new-round19/outputs/thesis_e2_extra_unseen_repeat15/pretext/twitter_emotion_binary/seed1024		expand_private	expand_private	needs_verification
pretext_twitter_emotion_binary_seed2048	pretext	PrE-Text	twitter_emotion_binary	2048	configs/experiments/thesis_e2_extra_unseen_repeat15/pretext_twitter_emotion_binary_seed2048.yaml	paper-new-round19/outputs/thesis_e2_extra_unseen_repeat15/pretext/twitter_emotion_binary/seed2048		expand_private	expand_private	needs_verification
pretext_twitter_emotion_binary_seed4096	pretext	PrE-Text	twitter_emotion_binary	4096	configs/experiments/thesis_e2_extra_unseen_repeat15/pretext_twitter_emotion_binary_seed4096.yaml	paper-new-round19/outputs/thesis_e2_extra_unseen_repeat15/pretext/twitter_emotion_binary/seed4096		expand_private	expand_private	needs_verification
pretext_twitter_emotion_binary_seed8192	pretext	PrE-Text	twitter_emotion_binary	8192	configs/experiments/thesis_e2_extra_unseen_repeat15/pretext_twitter_emotion_binary_seed8192.yaml	paper-new-round19/outputs/thesis_e2_extra_unseen_repeat15/pretext/twitter_emotion_binary/seed8192		expand_private	expand_private	needs_verification
pretext_twitter_emotion_binary_seed100	pretext	PrE-Text	twitter_emotion_binary	100	configs/experiments/thesis_e2_extra_unseen_repeat15/pretext_twitter_emotion_binary_seed100.yaml	paper-new-round19/outputs/thesis_e2_extra_unseen_repeat15/pretext/twitter_emotion_binary/seed100		expand_private	expand_private	needs_verification
pretext_twitter_emotion_binary_seed200	pretext	PrE-Text	twitter_emotion_binary	200	configs/experiments/thesis_e2_extra_unseen_repeat15/pretext_twitter_emotion_binary_seed200.yaml	paper-new-round19/outputs/thesis_e2_extra_unseen_repeat15/pretext/twitter_emotion_binary/seed200		expand_private	expand_private	needs_verification
pretext_twitter_emotion_binary_seed300	pretext	PrE-Text	twitter_emotion_binary	300	configs/experiments/thesis_e2_extra_unseen_repeat15/pretext_twitter_emotion_binary_seed300.yaml	paper-new-round19/outputs/thesis_e2_extra_unseen_repeat15/pretext/twitter_emotion_binary/seed300		expand_private	expand_private	needs_verification
pretext_twitter_emotion_binary_seed400	pretext	PrE-Text	twitter_emotion_binary	400	configs/experiments/thesis_e2_extra_unseen_repeat15/pretext_twitter_emotion_binary_seed400.yaml	paper-new-round19/outputs/thesis_e2_extra_unseen_repeat15/pretext/twitter_emotion_binary/seed400		expand_private	expand_private	needs_verification
pretext_twitter_emotion_binary_seed500	pretext	PrE-Text	twitter_emotion_binary	500	configs/experiments/thesis_e2_extra_unseen_repeat15/pretext_twitter_emotion_binary_seed500.yaml	paper-new-round19/outputs/thesis_e2_extra_unseen_repeat15/pretext/twitter_emotion_binary/seed500		expand_private	expand_private	needs_verification
pretext_twitter_emotion_binary_seed600	pretext	PrE-Text	twitter_emotion_binary	600	configs/experiments/thesis_e2_extra_unseen_repeat15/pretext_twitter_emotion_binary_seed600.yaml	paper-new-round19/outputs/thesis_e2_extra_unseen_repeat15/pretext/twitter_emotion_binary/seed600		expand_private	expand_private	needs_verification
pretext_twitter_emotion_binary_seed700	pretext	PrE-Text	twitter_emotion_binary	700	configs/experiments/thesis_e2_extra_unseen_repeat15/pretext_twitter_emotion_binary_seed700.yaml	paper-new-round19/outputs/thesis_e2_extra_unseen_repeat15/pretext/twitter_emotion_binary/seed700		expand_private	expand_private	needs_verification
round19_bioarxiv_seed42	round19	round19	bioarxiv	42	configs/experiments/thesis_e2_extra_unseen_repeat15/round19_bioarxiv_seed42.yaml	paper-new-round19/outputs/thesis_e2_extra_unseen_repeat15/round19/bioarxiv/seed42		round19		canonical_round19
round19_bioarxiv_seed123	round19	round19	bioarxiv	123	configs/experiments/thesis_e2_extra_unseen_repeat15/round19_bioarxiv_seed123.yaml	paper-new-round19/outputs/thesis_e2_extra_unseen_repeat15/round19/bioarxiv/seed123		round19		canonical_round19
round19_bioarxiv_seed456	round19	round19	bioarxiv	456	configs/experiments/thesis_e2_extra_unseen_repeat15/round19_bioarxiv_seed456.yaml	paper-new-round19/outputs/thesis_e2_extra_unseen_repeat15/round19/bioarxiv/seed456		round19		canonical_round19
round19_bioarxiv_seed789	round19	round19	bioarxiv	789	configs/experiments/thesis_e2_extra_unseen_repeat15/round19_bioarxiv_seed789.yaml	paper-new-round19/outputs/thesis_e2_extra_unseen_repeat15/round19/bioarxiv/seed789		round19		canonical_round19
round19_bioarxiv_seed1024	round19	round19	bioarxiv	1024	configs/experiments/thesis_e2_extra_unseen_repeat15/round19_bioarxiv_seed1024.yaml	paper-new-round19/outputs/thesis_e2_extra_unseen_repeat15/round19/bioarxiv/seed1024		round19		canonical_round19
round19_bioarxiv_seed2048	round19	round19	bioarxiv	2048	configs/experiments/thesis_e2_extra_unseen_repeat15/round19_bioarxiv_seed2048.yaml	paper-new-round19/outputs/thesis_e2_extra_unseen_repeat15/round19/bioarxiv/seed2048		round19		canonical_round19
round19_bioarxiv_seed4096	round19	round19	bioarxiv	4096	configs/experiments/thesis_e2_extra_unseen_repeat15/round19_bioarxiv_seed4096.yaml	paper-new-round19/outputs/thesis_e2_extra_unseen_repeat15/round19/bioarxiv/seed4096		round19		canonical_round19
round19_bioarxiv_seed8192	round19	round19	bioarxiv	8192	configs/experiments/thesis_e2_extra_unseen_repeat15/round19_bioarxiv_seed8192.yaml	paper-new-round19/outputs/thesis_e2_extra_unseen_repeat15/round19/bioarxiv/seed8192		round19		canonical_round19
